Title;Location;Start;End;Description
MAT1 (1070);A 2.2.05 WI;2023-11-08 12:15:00;2023-11-08 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-15 10:15:00;2023-11-15 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-15 12:15:00;2023-11-15 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-22 10:15:00;2023-11-22 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-22 12:15:00;2023-11-22 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-29 10:15:00;2023-11-29 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-11-29 12:15:00;2023-11-29 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-12-06 10:15:00;2023-12-06 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-12-06 12:15:00;2023-12-06 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-12-13 10:15:00;2023-12-13 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-12-13 12:15:00;2023-12-13 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-12-20 10:15:00;2023-12-20 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-12-20 12:15:00;2023-12-20 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2024-01-03 10:15:00;2024-01-03 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2024-01-03 12:15:00;2024-01-03 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
